country_name,country_code,indicator_name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Africa Eastern and Southern,AFE,"School enrollment, primary, female (% gross)",74.1068725585938,76.817268371582,79.0013275146484,82.6263275146484,85.0080413818359,88.5643615722656,91.4014282226562,94.5530624389648,98.3871002197266,98.4381637573242,97.8992309570312,97.1828231811523,97.8210601806641,97.6475296020508,98.3120574951172,97.6766204833984,98.4886779785156,99.2469177246094,100.397392272949,101.581253051758,102.679443359375,101.799057006836,99.3051300048828,99.8260803222656
Africa Western and Central,AFW,"School enrollment, primary, female (% gross)",71.4281768798828,72.4831008911133,74.1047286987305,75.2953186035156,77.389030456543,78.62255859375,80.0140228271484,78.3549194335938,76.4313812255859,78.4203033447266,79.7003021240234,83.7380523681641,86.4632720947266,87.7490921020508,86.623908996582,84.5517883300781,83.6496429443359,84.1819534301758,84.5205307006836,85.7524185180664,86.6695709228516,86.7731704711914,88.0174407958984,89.2489776611328
Arab World,ARB,"School enrollment, primary, female (% gross)",82.6585006713867,83.6286315917969,84.8486633300781,85.9767913818359,86.3581695556641,86.1738128662109,87.4204788208008,87.2020721435547,87.7240295410156,87.7877197265625,88.2430114746094,87.1210403442383,88.9285430908203,85.6685028076172,85.0300674438477,84.9579010009766,85.4079132080078,85.8488311767578,86.3674774169922,86.8806381225586,87.4853973388672,87.3852462768555,85.915901184082,88.9331512451172
Australia,AUS,"School enrollment, primary, female (% gross)",101.411880493164,101.354629516602,102.393867492676,102.737510681152,103.168251037598,103.170623779297,103.328758239746,105.135383605957,104.953300476074,104.936752319336,105.199279785156,105.054992675781,105.482597351074,105.631080627441,105.31275177002,101.619422912598,101.132469177246,100.666999816895,100.464347839355,100.275161743164,99.9861373901367,100.069267272949,99.2228622436523,99.4277191162109
East Asia & Pacific,EAS,"School enrollment, primary, female (% gross)",110.308181762695,111.222671508789,109.70955657959,108.323722839355,107.229118347168,105.498176574707,104.717170715332,105.105827331543,105.452972412109,105.258842468262,105.148918151855,105.276351928711,105.2080078125,104.752647399902,101.899658203125,100.989723205566,100.871597290039,100.631492614746,100.128768920898,99.8039627075195,99.9909210205078,99.922492980957,100.021347045898,99.4035263061523
European Union,EUU,"School enrollment, primary, female (% gross)",102.599060058594,103.047073364258,102.630760192871,102.587249755859,102.465507507324,102.943672180176,102.802177429199,102.549911499023,102.136787414551,101.830116271973,101.547950744629,101.434921264648,101.407096862793,102.169746398926,101.492279052734,101.330268859863,101.003837585449,101.178741455078,101.121589660645,101.39330291748,100.740600585938,101.38404083252,101.489318847656,102.466819763184
High income,HIC,"School enrollment, primary, female (% gross)",102.505058288574,102.964057922363,103.245590209961,103.647216796875,103.48316192627,102.413528442383,103.040657043457,102.887321472168,103.000961303711,102.743797302246,102.498870849609,102.182670593262,102.158172607422,101.041496276855,100.707969665527,100.891983032227,101.026878356934,101.284523010254,101.260261535645,101.294212341309,100.721122741699,100.06510925293,99.5815811157227,99.5065383911133
Latin America & Caribbean,LCN,"School enrollment, primary, female (% gross)",114.087532043457,113.437812805176,113.424621582031,112.426338195801,112.550193786621,111.835609436035,107.803619384766,111.310752868652,110.787452697754,110.74259185791,109.746353149414,108.963569641113,107.937049865723,108.787773132324,107.92903137207,107.070121765137,106.516616821289,106.149368286133,105.892723083496,105.835441589355,104.964401245117,104.497528076172,104.782791137695,104.413368225098
Low income,LIC,"School enrollment, primary, female (% gross)",60.9345588684082,63.7413215637207,68.1012802124023,71.5147094726562,73.628288269043,77.8632888793945,81.1647033691406,83.6303634643555,88.4281234741211,89.7226028442383,89.966667175293,90.3164978027344,91.4996185302734,91.1188888549805,91.998420715332,91.2220306396484,92.3920211791992,93.1690673828125,94.0854034423828,95.4121017456055,96.5895919799805,95.8942565917969,93.3848266601562,93.8482666015625
Lower middle income,LMC,"School enrollment, primary, female (% gross)",87.0682373046875,86.8249969482422,88.1046600341797,94.9951782226562,96.6157836914062,98.0027236938477,98.9972915649414,99.971809387207,100.101623535156,100.103073120117,100.407402038574,100.239608764648,102.03246307373,104.381172180176,103.165817260742,102.98560333252,106.377449035645,105.176918029785,96.3152008056641,96.280158996582,97.2494964599609,97.5192489624023,100.476852416992,101.773262023926
North America,NAC,"School enrollment, primary, female (% gross)",99.8882522583008,100.077743530273,100.252616882324,100.53507232666,100.813980102539,101.035682678223,102.319259643555,102.672836303711,102.929977416992,102.190856933594,101.394348144531,100.56037902832,99.8515014648438,99.0651397705078,99.4989166259766,100.225479125977,100.98323059082,101.12825012207,100.943603515625,100.957489013672,99.7670288085938,97.7614517211914,96.7899475097656,96.4423217773438
South Asia,SAS,"School enrollment, primary, female (% gross)",90.7817611694336,89.8244705200195,91.4004211425781,103.012718200684,104.827087402344,106.614097595215,108.712730407715,110.277618408203,111.527122497559,111.493598937988,111.635032653809,110.736312866211,112.880928039551,118.245338439941,116.499183654785,117.874382019043,125.894309997559,123.896423339844,103.795127868652,102.679130554199,104.399757385254,105.254402160645,112.472457885742,113.011596679688
Upper middle income,UMC,"School enrollment, primary, female (% gross)",110.765243530273,111.77774810791,110.849739074707,109.32991027832,108.483413696289,107.018737792969,105.385902404785,106.796142578125,106.85343170166,106.656478881836,106.186683654785,105.968086242676,105.289192199707,105.834381103516,102.985580444336,101.936988830566,101.767227172852,101.476226806641,101.31046295166,101.187477111816,101.090408325195,100.811470031738,100.967651367188,100.259407043457
